"wartosc dom/hotel
"	Nazwa 	Cena	Komorne	1 dom	2 domy	3 domy	4 domy	hotel	Hipoteka
50		60	2	10	30	90	160	250	30
		60	4	20	60	180	320	450	30
		200	25						100
		100	6	30	90	270	400	550	50
		100	6	30	90	270	400	550	50
		120	8	40	100	300	450	600	60
									
100		140	10	50	150	450	625	750	70
		150							75
		140	10	50	150	450	625	750	70
		160	12	60	180	500	700	900	80
		200	25						100
		180	14	70	200	550	750	950	90
		180	14	70	200	550	750	950	90
		200	16	80	220	600	800	1000	100
									
150		220	18	90	250	700	875	1050	110
		220	18	90	250	700	875	1050	110
		240	20	100	300	750	925	1100	120
		200	25						100
		260	22	110	330	800	975	1150	130
		260	22	110	330	800	975	1150	130
		150							75
		280	24	120	360	850	1025	1200	140
									
200		300	26	130	390	900	1100	1275	150
		300	26	130	390	900	1100	1275	150
		320	28	150	450	1000	1200	1400	160
		200	25						100
		350	35	175	500	1100	1300	1500	175
		400	50	200	600	1400	1700	2000	200
